event_datetime,city,temperature,light,airquality_raw,sound,humidity,dust
2015-03-05T20:00:00.000Z,San Francisco,25.26987782,5869.497373,23.53421515,1636.713482,24.94747421,1123.849896
2015-03-05T21:00:00.000Z,San Francisco,27.48796301,6506.098236,22.99860665,1699.415418,21.70329534,1099.944498
2015-03-05T22:00:00.000Z,San Francisco,28.23608904,5814.323051,22.00473876,1668.075395,19.40201729,1059.852237
2015-03-05T23:00:00.000Z,San Francisco,27.54511169,3645.113361,21.89073787,1677.518323,20.46148185,1032.876092
2015-03-06T00:00:00.000Z,San Francisco,25.36385381,2041.759505,21.78035804,1669.246543,21.18636722,946.2752848
2015-03-06T01:00:00.000Z,San Francisco,23.31562429,581.9508553,21.09720848,1633.171397,20.82946866,857.2189423
2015-03-06T02:00:00.000Z,San Francisco,22.25307354,20.11356944,22.31072714,1634.779341,22.37822578,893.2484172
2015-03-06T03:00:00.000Z,San Francisco,21.07353572,1.816176471,23.58457582,1632.405566,26.65641148,914.742275
2015-03-06T04:00:00.000Z,San Francisco,20.3517505,1.569015847,24.2092342,1603.125554,29.17977666,932.327192
2015-03-06T05:00:00.000Z,San Francisco,19.81966868,1.486725664,24.72273171,1600.663282,31.50064727,918.1775469
2015-03-06T06:00:00.000Z,San Francisco,19.09251484,1.41557573,25.19638935,1571.449686,34.1619283,933.43839
2015-03-06T07:00:00.000Z,San Francisco,18.29856645,1.009134906,24.87105179,1583.417577,39.58610042,954.0774265
2015-03-06T08:00:00.000Z,San Francisco,17.85083648,0.552308591,24.36193186,1625.562106,41.69159894,1003.947186
2015-03-06T09:00:00.000Z,San Francisco,17.40001697,0.195807978,25.2631607,1587.281947,43.98901255,976.4180651
2015-03-06T10:00:00.000Z,San Francisco,16.7319133,0.309127789,27.90688904,1580.545943,47.65543173,996.6740593
2015-03-06T11:00:00.000Z,San Francisco,16.16318279,0.384706799,28.283719,1570.899425,50.43163767,968.8317499
2015-03-06T12:00:00.000Z,San Francisco,15.59345727,0.337539635,28.67515045,1580.64918,52.19080399,997.4191317
2015-03-06T13:00:00.000Z,San Francisco,15.21145097,0.319456518,28.74554863,1620.059685,53.29212113,1017.192379
2015-03-06T14:00:00.000Z,San Francisco,15.06894142,106.6821624,29.83296292,1609.727659,54.62522598,1070.840585
2015-03-06T15:00:00.000Z,San Francisco,16.36747021,1189.118374,31.99121165,1634.32971,53.14597154,1121.759011
2015-03-06T16:00:00.000Z,San Francisco,17.96298935,2138.108484,30.33199472,1640.495925,49.20431305,1124.220719
